source_message_index,event_id,session_type,message_timestamp,message_lap,message,process_status,car_numbers,car_count,location,incident_lap_explicit,incident_family
1548,2018-sgp,Race,2018-09-16 06:34:09-07:00,44.0,5 SECOND TIME PENALTY FOR CAR 8 (GRO) - IGNORING BLUE FLAGS,sanction_announced,8,1,,,blue_flags
1551,2018-sgp,Race,2018-09-16 06:38:22-07:00,46.0,TURN 14 INCIDENT INVOLVING CARS 28 (HAR) AND 35 (SIR) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,investigation,28|35,2,Turn 14,,forcing_off_track
1553,2018-sgp,Race,2018-09-16 06:39:36-07:00,47.0,5 SECOND TIME PENALTY FOR CAR 35 (SIR) - FORCING ANOTHER DRIVER OFF THE TRACK,sanction_announced,35,1,,,forcing_off_track
1596,2018-usa,Race,2018-10-21 11:17:03-07:00,3.0,FIRST LAP INCIDENTS UNDER INVESTIGATION,investigation,,0,,1.0,other
1603,2018-usa,Race,2018-10-21 11:22:05-07:00,6.0,DRIVE THROUGH PENALTY FOR CAR 18 (STR) - CAUSING A COLLISION,sanction_announced,18,1,,,causing_collision
1604,2018-usa,Race,2018-10-21 11:23:57-07:00,7.0,1ST LAP INCIDENT INVOLVING CARS 8 (GRO) AND 16 (LEC) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,8|16,2,,,other
1605,2018-usa,Race,2018-10-21 11:27:11-07:00,9.0,"LAP 1, TURN 13 INCIDENT INVOLVING CARS 3 (RIC) AND 5 (VET) - NO FURTHER ACTION",no_further_action,3|5,2,Turn 13,1.0,other
1619,2018-usa,Race,2018-10-21 11:43:28-07:00,18.0,"LAP 1, TURN 1 INCIDENT INVOLVING CAR 55 (SAI) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE",investigation,55,1,Turn 1,1.0,gaining_advantage_off_track
1628,2018-usa,Race,2018-10-21 11:48:26-07:00,21.0,5 SECOND TIME PENALTY FOR CAR 55 (SAI) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,sanction_announced,55,1,,,gaining_advantage_off_track
1672,2019-abu,Race,2019-12-01 05:15:54-08:00,2.0,"TURN 1 INCIDENT INVOLVING CARS 10 (GAS), 11 (PER) AND 18 (STR) NOTED",noted,10|11|18,3,Turn 1,,other
1674,2019-abu,Race,2019-12-01 05:17:25-08:00,3.0,"TURN 1 INCIDENT INVOLVING CARS 10 (GAS), 11 (PER) AND 18 (STR) - NO INVESTIGATION NECESSARY",no_investigation,10|11|18,3,Turn 1,,other
1683,2019-abu,Race,2019-12-01 05:39:12-08:00,15.0,TURN 6 INCIDENT INVOLVING CARS 3 (RIC) AND 55 (SAI) NOTED - NO INVESTIGATION NECESSARY,no_investigation,3|55,2,Turn 6,,other
1691,2019-abu,Race,2019-12-01 05:53:47-08:00,24.0,TURN 11 INCIDENT INVOLVING CARS 88 (KUB) AND 99 (GIO) NOTED,noted,88|99,2,Turn 11,,other
1696,2019-abu,Race,2019-12-01 05:57:37-08:00,26.0,TURN 11 INCIDENT INVOLVING CARS 88 (KUB) AND 99 (GIO) UNDER INVESTIGATION,investigation,88|99,2,Turn 11,,other
1699,2019-abu,Race,2019-12-01 06:00:01-08:00,27.0,TURN 11 INCIDENT INVOLVING CARS 88 (KUB) AND 99 (GIO) - NO FURTHER ACTION,no_further_action,88|99,2,Turn 11,,other
1815,2019-aut,Race,2019-06-30 06:19:11-07:00,6.0,"LAP 1, TURN 1 INCIDENT INVOLVING CARS 99 (GIO) NOTED - NO INVESTIGATION NECESSARY",no_investigation,99,1,Turn 1,1.0,other
